GrLivArea,SalePrice,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,MoSold,YrSold,lat,long,TotalPorchSF,TotalBR,MSZoning_C (all),MSZoning_FV,MSZoning_I (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR2,LotShape_IR3,LotShape_Reg,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,PavedDrive_P,PavedDrive_Y,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_PreCast,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf
1072.0,140000,180,35.0,3675.0,6,5,2005.0,2005.0,76.0,3,3,4,3,4,6,467.0,0.0,80.0,547.0,5,1072.0,0.0,0,2,4,5,0,0,2.0,525.0,3,3,0.0,5,2007,42.019086,-93.6703816,44.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1342.0,219500,120,48.0,6240.0,8,5,2006.0,2007.0,196.0,4,3,4,3,1,6,24.0,0.0,1318.0,1342.0,5,1342.0,0.0,0,2,4,6,1,4,2.0,550.0,3,3,0.0,2,2008,42.057103,-93.6514127,35.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1274.0,136000,60,63.0,10475.0,5,5,1991.0,1991.0,0.0,3,3,4,3,1,3,458.0,0.0,166.0,624.0,4,624.0,650.0,0,3,3,6,0,0,2.0,576.0,3,3,22.0,3,2010,41.9863635,-93.6021339,0.0,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
861.0,80000,30,62.0,7404.0,4,6,1920.0,1950.0,0.0,3,3,2,3,1,1,0.0,0.0,861.0,861.0,3,861.0,0.0,0,2,3,5,0,0,2.0,288.0,3,3,0.0,11,2009,42.0322288,-93.6086225,128.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1394.0,159000,20,74.1,9500.0,6,5,1963.0,1963.0,247.0,3,3,4,3,1,4,609.0,0.0,785.0,1394.0,4,1394.0,0.0,0,3,3,6,2,4,2.0,514.0,3,3,0.0,7,2009,42.047252,-93.615957,261.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1536.0,214000,20,70.0,9135.0,7,5,2002.0,2003.0,113.0,4,3,4,3,3,6,810.0,0.0,726.0,1536.0,5,1536.0,0.0,0,3,4,7,0,0,2.0,532.0,3,3,192.0,12,2008,42.015738,-93.68745,74.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1680.0,163000,60,50.0,8480.0,6,5,1993.0,1994.0,120.0,4,3,4,3,1,6,602.0,0.0,284.0,886.0,5,886.0,794.0,0,3,4,7,0,0,2.0,474.0,3,3,144.0,10,2008,42.0357536,-93.6899194,96.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1274.0,203000,20,68.0,8814.0,7,5,2005.0,2007.0,80.0,4,3,4,3,1,6,925.0,0.0,349.0,1274.0,5,1274.0,0.0,0,3,4,6,0,0,2.0,508.0,3,3,264.0,1,2007,42.0251853,-93.6894042,98.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
864.0,67000,30,45.0,8248.0,3,3,1914.0,1950.0,0.0,3,3,3,3,1,4,41.0,0.0,823.0,864.0,3,864.0,0.0,0,2,3,5,0,0,0.0,0.0,0,0,0.0,9,2008,42.0219435,-93.6578284,100.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1610.0,205000,20,74.6,10603.0,6,7,1977.0,2001.0,28.0,3,3,3,3,2,5,1200.0,0.0,410.0,1610.0,4,1610.0,0.0,0,3,4,6,2,3,2.0,480.0,3,3,168.0,2,2010,42.0427279,-93.6364656,68.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1091.0,131250,80,62.0,7706.0,6,5,1993.0,1996.0,0.0,3,4,4,3,3,3,114.0,270.0,0.0,384.0,5,1091.0,0.0,0,2,3,5,0,0,1.0,429.0,3,3,280.0,8,2009,41.9873619,-93.6054374,0.0,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1486.0,181000,20,65.0,7441.0,7,5,2006.0,2006.0,170.0,4,3,4,3,1,1,0.0,0.0,1461.0,1461.0,5,1486.0,0.0,0,3,4,7,0,0,2.0,566.0,3,3,0.0,6,2007,42.0373416,-93.6909894,32.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
789.0,115000,20,50.0,6000.0,5,5,1948.0,1950.0,0.0,3,3,3,3,1,5,104.0,169.0,516.0,789.0,5,789.0,0.0,0,2,3,5,0,0,1.0,250.0,3,3,0.0,4,2008,42.0338488,-93.6087016,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1092.0,98000,160,21.0,1477.0,6,9,1970.0,2007.0,0.0,3,4,3,3,1,6,358.0,0.0,188.0,546.0,5,546.0,546.0,0,3,3,6,0,0,0.0,0.0,0,0,187.0,3,2008,41.992342,-93.602403,0.0,2.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
2640.0,265979,70,65.0,11700.0,7,7,1880.0,2003.0,0.0,4,3,3,2,1,1,0.0,0.0,1240.0,1240.0,3,1320.0,1320.0,0,4,4,8,1,4,4.0,864.0,3,3,181.0,5,2009,42.0299412,-93.6125793,386.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1092.0,105500,160,21.0,1680.0,5,5,1971.0,1971.0,492.0,3,3,3,3,1,3,300.0,0.0,225.0,525.0,3,525.0,567.0,0,3,3,6,0,0,1.0,320.0,3,3,0.0,3,2010,42.051423,-93.628319,0.0,1.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1458.0,168165,60,58.0,13204.0,7,5,2006.0,2007.0,44.0,3,3,4,3,1,1,0.0,0.0,608.0,608.0,5,608.0,850.0,0,3,4,6,0,0,2.0,454.0,3,3,100.0,5,2007,42.0619944,-93.6457105,33.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1466.0,201000,20,73.0,8925.0,8,5,2007.0,2007.0,0.0,4,3,4,3,3,6,16.0,0.0,1450.0,1466.0,5,1466.0,0.0,0,3,4,7,0,0,3.0,610.0,3,3,100.0,7,2009,41.99435740000001,-93.6502643,18.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1573.0,177500,160,22.2,2117.0,6,5,2000.0,2000.0,216.0,4,3,4,3,1,6,378.0,0.0,378.0,756.0,5,769.0,804.0,0,3,4,5,0,0,2.0,440.0,3,3,0.0,6,2010,42.0461934,-93.6459481,32.0,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2090.0,200000,60,74.6,10382.0,7,6,1973.0,1973.0,240.0,3,3,4,3,2,5,859.0,32.0,216.0,1107.0,5,1107.0,983.0,0,3,3,7,2,3,2.0,484.0,3,3,235.0,11,2009,42.048968,-93.632865,432.0,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2046.0,450000,20,105.0,15431.0,10,5,2005.0,2006.0,400.0,5,3,5,3,4,6,1430.0,0.0,564.0,1994.0,5,2046.0,0.0,0,2,5,7,2,4,3.0,878.0,3,3,188.0,8,2007,42.0614983,-93.657825,240.0,3.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
886.0,91300,30,50.0,5784.0,5,8,1938.0,1996.0,0.0,3,3,2,3,1,1,0.0,0.0,190.0,190.0,4,886.0,0.0,0,2,3,4,0,0,1.0,273.0,3,3,144.0,12,2009,42.0311722,-93.6102843,100.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1258.0,173500,20,64.0,7697.0,7,6,2007.0,2007.0,0.0,4,3,4,3,1,1,0.0,0.0,1246.0,1246.0,5,1258.0,0.0,0,3,4,6,0,0,2.0,462.0,3,3,0.0,8,2007,42.0632601,-93.6441465,0.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
1324.0,199500,20,100.0,18494.0,6,5,2005.0,2005.0,0.0,4,3,4,3,1,1,0.0,0.0,1324.0,1324.0,5,1324.0,0.0,0,3,4,6,0,0,2.0,430.0,3,3,36.0,1,2010,42.061763,-93.6444831,23.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1848.0,207000,50,64.0,13053.0,6,7,1923.0,2000.0,0.0,3,3,3,3,1,1,0.0,0.0,833.0,833.0,4,1053.0,795.0,0,4,4,8,1,4,2.0,370.0,3,3,0.0,6,2008,42.029399,-93.627,220.0,1.5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1269.0,155000,20,70.0,7931.0,5,6,1960.0,1960.0,0.0,3,3,3,3,1,4,374.0,532.0,363.0,1269.0,3,1269.0,0.0,0,3,3,6,1,2,1.0,308.0,3,3,0.0,6,2008,42.0376628,-93.606565,0.0,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1346.0,220000,20,88.0,11896.0,7,5,2008.0,2008.0,60.0,4,3,4,3,1,6,78.0,0.0,1258.0,1336.0,5,1346.0,0.0,0,3,4,6,1,3,3.0,660.0,3,3,100.0,5,2010,41.9951757,-93.6494525,48.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1749.0,196000,60,68.0,9272.0,7,5,1999.0,1999.0,0.0,4,3,4,3,1,6,500.0,0.0,342.0,842.0,5,856.0,893.0,0,3,4,7,0,0,2.0,515.0,3,3,140.0,6,2006,42.0168902,-93.6919315,85.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
